date,carmelo_full,carmelo_cur,team,record,conferece,proj_record,proj_diff,playoff_%,playoff_adj,finals_%,champion_%
2019-02-01,1797,1815,Warriors,36-15,West,61-21,+8.2,>99%,+55,73%,60%
2019-02-01,1688,1592,Thunder,32-18,West,52-30,+4.8,>99%,+38,12%,7%
2019-02-01,1687,1668,Raptors,37-16,East,58-24,+6.0,>99%,+43,38%,12%
2019-02-01,1680,1641,Rockets,29-21,West,49-33,+2.7,98%,+28,6%,3%
2019-02-01,1665,1582,Celtics,32-19,East,52-30,+6.1,>99%,+33,19%,5%
2019-02-01,1665,1659,Bucks,37-13,East,60-22,+8.5,>99%,+35,28%,7%
2019-02-01,1650,1681,76ers,34-18,East,54-28,+4.5,>99%,+26,14%,3%
2019-02-01,1639,1641,Jazz,29-23,West,50-32,+4.2,>99%,+49,5%,2%
2019-02-01,1629,1630,Nuggets,35-15,West,54-28,+4.8,>99%,+23,3%,2%
2019-02-01,1607,1318,Pelicans,23-29,West,40-42,+1.7,21%,+37,<1%,<1%
2019-02-01,1580,1496,Pacers,32-19,East,47-35,+2.5,>99%,+28,<1%,<1%
2019-02-01,1577,1535,Trail Blazers,32-20,West,48-34,+2.5,96%,+28,<1%,<1%
2019-02-01,1569,1414,Timberwolves,25-26,West,40-42,+0.0,21%,+12,<1%,<1%
2019-02-01,1564,1407,Lakers,27-25,West,41-41,-0.1,30%,+37,<1%,<1%
2019-02-01,1534,1455,Wizards,22-29,East,38-44,-1.6,53%,+34,<1%,<1%
2019-02-01,1516,1495,Spurs,31-22,West,45-37,+1.6,86%,+20,<1%,<1%
2019-02-01,1510,1484,Clippers,28-24,West,42-40,+0.1,44%,+15,<1%,<1%
2019-02-01,1503,1480,Grizzlies,20-32,West,35-47,-2.1,1%,+18,<1%,<1%
2019-02-01,1496,1358,Mavericks,23-28,West,35-47,-0.9,1%,-2,<1%,<1%
2019-02-01,1487,1467,Hornets,24-26,East,38-44,-0.9,57%,+32,<1%,<1%
